name,onset,offset,duration
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
fixation.ivt,12520,12740,220
fixation.ivt,13000,13160,160
fixation.ivt,13200,13780,580
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
fixation.ivt,12520,12740,220
fixation.ivt,13000,13160,160
fixation.ivt,13200,13780,580
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
fixation.ivt,12520,12740,220
fixation.ivt,13000,13160,160
fixation.ivt,13200,13780,580
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
fixation.ivt,12520,12740,220
fixation.ivt,13000,13160,160
fixation.ivt,13200,13780,580
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
fixation.ivt,12520,12740,220
fixation.ivt,13000,13160,160
fixation.ivt,13200,13780,580
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
fixation.ivt,12520,12740,220
fixation.ivt,13000,13160,160
fixation.ivt,13200,13780,580
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
fixation.ivt,12520,12740,220
fixation.ivt,13000,13160,160
fixation.ivt,13200,13780,580
fixation.ivt,13860,14180,320
fixation.ivt,14260,14400,140
fixation.ivt,14500,14780,280
fixation.ivt,14840,14980,140
fixation.ivt,15040,15180,140
fixation.ivt,15280,15460,180
fixation.ivt,15520,16020,500
fixation.ivt,16120,16780,660
fixation.ivt,16840,17160,320
fixation.ivt,17220,17340,120
fixation.ivt,17740,18140,400
fixation.ivt,18200,18640,440
fixation.ivt,18720,19100,380
fixation.ivt,19160,19380,220
fixation.ivt,19440,19740,300
fixation.ivt,20280,20820,540
fixation.ivt,20940,21080,140
fixation.ivt,21140,21240,100
fixation.ivt,21320,21540,220
fixation.ivt,21620,21940,320
fixation.ivt,22380,22600,220
fixation.ivt,22860,23300,440
fixation.ivt,23400,23540,140
fixation.ivt,23640,23960,320
fixation.ivt,24120,24360,240
fixation.ivt,24460,24820,360
fixation.ivt,25340,25980,640
fixation.ivt,26100,26380,280
fixation.ivt,26560,26840,280
fixation.ivt,27280,27520,240
fixation.ivt,27980,28160,180
fixation.ivt,28240,28500,260
fixation.ivt,28600,28700,100
fixation.ivt,28800,28920,120
fixation.ivt,29040,29140,100
fixation.ivt,29240,29860,620
fixation.ivt,29900,30140,240
fixation.ivt,30220,30720,500
fixation.ivt,30780,30920,140
fixation.ivt,31000,31340,340
fixation.ivt,31460,31560,100
fixation.ivt,31620,31820,200
fixation.ivt,31940,32200,260
fixation.ivt,32260,32440,180
fixation.ivt,32980,33100,120
fixation.ivt,33320,33880,560
fixation.ivt,33960,34380,420
fixation.ivt,34460,34600,140
fixation.ivt,34700,36220,1520
fixation.ivt,36460,36640,180
fixation.ivt,36720,37880,1160
fixation.ivt,38100,38680,580
fixation.ivt,38760,39000,240
fixation.ivt,39280,39800,520
fixation.ivt,39840,39940,100
fixation.ivt,40,360,320
fixation.ivt,400,660,260
fixation.ivt,740,900,160
fixation.ivt,960,1160,200
fixation.ivt,1260,1500,240
fixation.ivt,1580,1680,100
fixation.ivt,1780,2020,240
fixation.ivt,2100,2900,800
fixation.ivt,2980,3140,160
fixation.ivt,3240,4060,820
fixation.ivt,4100,4340,240
fixation.ivt,4440,5040,600
fixation.ivt,5080,5240,160
fixation.ivt,5520,5640,120
fixation.ivt,5740,5880,140
fixation.ivt,5980,6820,840
fixation.ivt,6880,7340,460
fixation.ivt,7420,7800,380
fixation.ivt,7900,8040,140
fixation.ivt,8300,8480,180
fixation.ivt,8600,8880,280
fixation.ivt,8980,9460,480
fixation.ivt,9540,10040,500
fixation.ivt,10160,10500,340
fixation.ivt,10560,10880,320
fixation.ivt,11320,11580,260
fixation.ivt,11820,12480,660
