name,onset,offset,duration
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
fixation.ivt,9920,10040,120
fixation.ivt,10300,10800,500
fixation.ivt,10880,11600,720
fixation.ivt,11660,11880,220
fixation.ivt,11960,12240,280
fixation.ivt,12280,13320,1040
fixation.ivt,13380,14980,1600
fixation.ivt,15020,16240,1220
fixation.ivt,16280,17080,800
fixation.ivt,17200,17500,300
fixation.ivt,17620,17900,280
fixation.ivt,18020,19080,1060
fixation.ivt,19160,19460,300
fixation.ivt,19560,20700,1140
fixation.ivt,20800,21100,300
fixation.ivt,21200,21500,300
fixation.ivt,21600,22720,1120
fixation.ivt,22780,23340,560
fixation.ivt,23440,25300,1860
fixation.ivt,25380,26040,660
fixation.ivt,26160,26300,140
fixation.ivt,26340,26620,280
fixation.ivt,26700,27400,700
fixation.ivt,27520,28260,740
fixation.ivt,28360,28640,280
fixation.ivt,28760,28940,180
fixation.ivt,29020,29600,580
fixation.ivt,29660,30800,1140
fixation.ivt,30860,31140,280
fixation.ivt,31200,35440,4240
fixation.ivt,35480,35840,360
fixation.ivt,35920,36260,340
fixation.ivt,36320,37920,1600
fixation.ivt,37960,38120,160
fixation.ivt,38380,39300,920
fixation.ivt,39380,39940,560
fixation.ivt,40,260,220
fixation.ivt,320,1100,780
fixation.ivt,1180,1360,180
fixation.ivt,1540,2500,960
fixation.ivt,2560,3560,1000
fixation.ivt,3660,3760,100
fixation.ivt,3920,4280,360
fixation.ivt,4640,5100,460
fixation.ivt,5200,5860,660
fixation.ivt,5920,6460,540
fixation.ivt,6540,7260,720
fixation.ivt,7380,8020,640
fixation.ivt,8120,8280,160
fixation.ivt,8340,8860,520
fixation.ivt,8960,9220,260
fixation.ivt,9260,9640,380
fixation.ivt,9720,9820,100
